Employee ID,Employee Type,Department,Workplace Factor,Stress Level,Burnout Frequency,Job Satisfaction,Access to EAPs,Mental Health Absences,Turnover Intention
HCP-00001,Pediatric Nurse,Pediatrics,Heavy Workload,8,Often,2,Yes,6,No
HCP-00002,Laboratory Technician,Laboratory,Safety Concerns,8,Often,1,Yes,12,No
HCP-00003,Nursing Assistant,Assisted Living,Poor Work Environment,6,Occasionally,2,Yes,9,Yes
HCP-00004,Medical Assistant,Outpatient Services,Poor Work Environment,7,Never,4,No,11,No
HCP-00005,Registered Nurse,General Medicine,Work-Life Imbalance,8,Occasionally,2,Yes,7,No
HCP-00006,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,2,Yes,11,Yes
HCP-00007,Registered Nurse,General Medicine,Poor Work Environment,6,Occasionally,4,Yes,3,Yes
HCP-00008,Radiology Technician,Radiology,Career Stagnation,5,Occasionally,2,Yes,7,No
HCP-00009,Medical Assistant,Outpatient Services,Poor Work Environment,8,Often,2,Yes,9,Yes
HCP-00010,Nursing Assistant,Assisted Living,Heavy Workload,9,Occasionally,1,Yes,8,No
HCP-00011,Registered Nurse,General Medicine,Heavy Workload,9,Never,2,No,14,Yes
HCP-00012,Laboratory Technician,Laboratory,Career Stagnation,5,Never,1,Yes,4,Yes
HCP-00013,Healthcare Administrator,Administration,Poor Work Environment,8,Often,1,Yes,5,Yes
HCP-00014,Registered Nurse,General Medicine,Poor Work Environment,7,Occasionally,2,Yes,8,No
HCP-00015,Registered Nurse,General Medicine,Heavy Workload,8,Often,1,Yes,7,Yes
HCP-00016,Registered Nurse,General Medicine,Heavy Workload,7,Often,3,Yes,8,Yes
HCP-00017,Critical Care Nurse,ICU,Heavy Workload,7,Occasionally,3,No,14,No
HCP-00018,Physician (Specialist),Specialty Care,Poor Work Environment,6,Often,3,Yes,4,No
HCP-00019,Physician (General),General Practice,Work-Life Imbalance,7,Never,3,No,8,Yes
HCP-00020,Critical Care Nurse,ICU,Safety Concerns,7,Occasionally,2,No,13,Yes
HCP-00021,Medical Assistant,Outpatient Services,Heavy Workload,7,Occasionally,2,Yes,8,Yes
HCP-00022,Registered Nurse,General Medicine,Heavy Workload,7,Often,1,Yes,5,Yes
HCP-00023,Critical Care Nurse,ICU,Work-Life Imbalance,9,Never,2,Yes,7,Yes
HCP-00024,Pediatric Nurse,Pediatrics,Emotional Demands,6,Often,2,Yes,4,Yes
HCP-00025,Physician (General),General Practice,Safety Concerns,9,Never,2,Yes,7,Yes
HCP-00026,Healthcare Administrator,Administration,Poor Work Environment,6,Often,1,Yes,6,Yes
HCP-00027,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,1,Yes,9,Yes
HCP-00028,Physician (Specialist),Specialty Care,Poor Work Environment,8,Often,1,No,10,Yes
HCP-00029,Medical Assistant,Outpatient Services,Heavy Workload,9,Often,1,Yes,7,Yes
HCP-00030,Registered Nurse,General Medicine,Heavy Workload,9,Occasionally,1,Yes,8,Yes
HCP-00031,Medical Assistant,Outpatient Services,Poor Work Environment,6,Occasionally,3,Yes,1,Yes
HCP-00032,Registered Nurse,General Medicine,Heavy Workload,9,Often,1,Yes,9,Yes
HCP-00033,Registered Nurse,General Medicine,Heavy Workload,9,Never,3,Yes,11,Yes
HCP-00034,Laboratory Technician,Laboratory,Poor Work Environment,8,Often,1,No,5,Yes
HCP-00035,Laboratory Technician,Laboratory,Safety Concerns,8,Often,1,No,11,Yes
HCP-00036,Healthcare Administrator,Administration,Career Stagnation,4,Occasionally,4,Yes,2,No
HCP-00037,Critical Care Nurse,ICU,Heavy Workload,9,Occasionally,2,Yes,10,Yes
HCP-00038,Registered Nurse,General Medicine,Unclear Job Expectations,4,Occasionally,2,Yes,4,Yes
HCP-00039,Nursing Assistant,Assisted Living,Emotional Demands,7,Often,3,Yes,7,Yes
HCP-00040,Physician (General),General Practice,Safety Concerns,7,Occasionally,1,No,9,Yes
HCP-00041,Registered Nurse,General Medicine,Poor Work Environment,8,Often,1,No,13,Yes
HCP-00042,Physician (Specialist),Specialty Care,Heavy Workload,7,Never,4,Yes,7,No
HCP-00043,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,2,Yes,6,Yes
HCP-00044,Radiology Technician,Radiology,Poor Work Environment,7,Occasionally,2,Yes,7,Yes
HCP-00045,Critical Care Nurse,ICU,Heavy Workload,9,Often,1,Yes,8,Yes
HCP-00046,Nursing Assistant,Assisted Living,Emotional Demands,7,Occasionally,4,Yes,7,No
HCP-00047,Critical Care Nurse,ICU,Heavy Workload,8,Occasionally,2,Yes,7,Yes
HCP-00048,Physician (Specialist),Specialty Care,Heavy Workload,7,Occasionally,1,Yes,5,Yes
HCP-00049,Physician (Specialist),Specialty Care,Poor Work Environment,8,Occasionally,2,Yes,8,Yes
HCP-00050,Registered Nurse,General Medicine,Heavy Workload,9,Often,2,Yes,9,Yes
HCP-00051,Laboratory Technician,Laboratory,Safety Concerns,9,Often,1,Yes,11,Yes
HCP-00052,Healthcare Administrator,Administration,Job Insecurity,6,Often,2,Yes,5,Yes
HCP-00053,Laboratory Technician,Laboratory,Safety Concerns,9,Never,3,Yes,5,No
HCP-00054,Radiology Technician,Radiology,Safety Concerns,8,Often,1,Yes,7,No
HCP-00055,Medical Assistant,Outpatient Services,Heavy Workload,8,Often,2,No,5,Yes
HCP-00056,Radiology Technician,Radiology,Poor Work Environment,7,Often,3,Yes,7,No
HCP-00057,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,1,No,4,Yes
HCP-00058,Registered Nurse,General Medicine,Heavy Workload,9,Often,1,Yes,7,Yes
HCP-00059,Registered Nurse,General Medicine,Heavy Workload,8,Occasionally,4,Yes,7,Yes
HCP-00060,Critical Care Nurse,ICU,Heavy Workload,8,Often,2,Yes,11,Yes
HCP-00061,Pediatric Nurse,Pediatrics,Work-Life Imbalance,7,Never,3,Yes,4,Yes
HCP-00062,Critical Care Nurse,ICU,Safety Concerns,7,Never,3,Yes,7,No
HCP-00063,Healthcare Administrator,Administration,Poor Work Environment,7,Never,4,No,10,No
HCP-00064,Pediatric Nurse,Pediatrics,Heavy Workload,8,Occasionally,3,Yes,10,Yes
HCP-00065,Critical Care Nurse,ICU,Poor Work Environment,6,Never,5,Yes,7,Yes
